BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	PCR_plate	PCR_well	Run	SRA_Sample	Sample_Name	host_subject_id	replicate	seq_lab	seq_run	titration	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	isol_growth_condt	lat_lon	strain
SAMN09634715	SRX4371361	E01JH0017_1_2_B4_JHU_2	7/12/18	62	39	2	B4	SRR7501937	SRS3529611	E01JH0017_1_2_B4	E01JH0017	PCR replicate 4	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634710	SRX4371362	E01JH0017_1_2_B10_JHU_2	7/12/18	55	35	2	B10	SRR7501934	SRS3529534	E01JH0017_1_2_B10	E01JH0017	PCR replicate 3	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634709	SRX4371363	E01JH0004_1_2_B1_JHU_2	7/12/18	68	43	2	B1	SRR7501933	SRS3529533	E01JH0004_1_2_B1	E01JH0004	PCR replicate 3	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634712	SRX4371364	E01JH0011_0_2_B12_JHU_2	7/12/18	59	37	2	B12	SRR7501931	SRS3529612	E01JH0011_0_2_B12	E01JH0011	PCR replicate 3	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634711	SRX4371365	E01JH0038_1_2_B11_JHU_2	7/12/18	65	41	2	B11	SRR7501930	SRS3529613	E01JH0038_1_2_B11	E01JH0038	PCR replicate 3	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634648	SRX4371373	E01JH0016_3_1_D9_JHU_2	7/12/18	41	26	1	D9	SRR7501923	SRS3529604	E01JH0016_3_1_D9	E01JH0016	PCR replicate 2	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634647	SRX4371374	E01JH0011_3_1_D8_JHU_2	7/12/18	32	20	1	D8	SRR7501921	SRS3529571	E01JH0011_3_1_D8	E01JH0011	PCR replicate 2	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634640	SRX4371381	NTC_NA_1_D12_JHU_2	7/12/18	0	0	1	D12	SRR7501917	SRS3529483	NTC_NA_1_D12	NTC	PCR replicate 3	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634639	SRX4371382	E01JH0038_3_1_D11_JHU_2	7/12/18	59	37	1	D11	SRR7501914	SRS3529482	E01JH0038_3_1_D11	E01JH0038	PCR replicate 1	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634642	SRX4371383	E01JH0016_3_1_D3_JHU_2	7/12/18	54	35	1	D3	SRR7501913	SRS3529601	E01JH0016_3_1_D3	E01JH0016	PCR replicate 1	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634641	SRX4371384	E01JH0011_3_1_D2_JHU_2	7/12/18	49	31	1	D2	SRR7501911	SRS3529602	E01JH0011_3_1_D2	E01JH0011	PCR replicate 1	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634644	SRX4371385	E01JH0038_3_1_D5_JHU_2	7/12/18	40	25	1	D5	SRR7501910	SRS3529458	E01JH0038_3_1_D5	E01JH0038	PCR replicate 2	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634643	SRX4371386	E01JH0017_3_1_D4_JHU_2	7/12/18	50	32	1	D4	SRR7501912	SRS3529593	E01JH0017_3_1_D4	E01JH0017	PCR replicate 2	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634646	SRX4371387	E01JH0004_3_1_D7_JHU_2	7/12/18	40	25	1	D7	SRR7501909	SRS3529594	E01JH0004_3_1_D7	E01JH0004	PCR replicate 2	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634645	SRX4371388	NTC_NA_1_D6_JHU_2	7/12/18	0	0	1	D6	SRR7501908	SRS3529583	NTC_NA_1_D6	NTC	PCR replicate 4	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634693	SRX4371422	NTC_NA_1_H6_JHU_2	7/12/18	0	0	1	H6	SRR7502160	SRS3529552	NTC_NA_1_H6	NTC	PCR replicate 6	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634694	SRX4371423	E01JH0004_15_1_H7_JHU_2	7/12/18	56	35	1	H7	SRR7502159	SRS3529550	E01JH0004_15_1_H7	E01JH0004	PCR replicate 2	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634695	SRX4371424	E01JH0011_15_1_H8_JHU_2	7/12/18	40	25	1	H8	SRR7502157	SRS3529547	E01JH0011_15_1_H8	E01JH0011	PCR replicate 2	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634696	SRX4371425	E01JH0016_15_1_H9_JHU_2	7/12/18	47	30	1	H9	SRR7502156	SRS3529548	E01JH0016_15_1_H9	E01JH0016	PCR replicate 2	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634689	SRX4371426	E01JH0011_15_1_H2_JHU_2	7/12/18	70	44	1	H2	SRR7502158	SRS3529623	E01JH0011_15_1_H2	E01JH0011	PCR replicate 1	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634690	SRX4371427	E01JH0016_15_1_H3_JHU_2	7/12/18	69	45	1	H3	SRR7502155	SRS3529624	E01JH0016_15_1_H3	E01JH0016	PCR replicate 1	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634691	SRX4371428	E01JH0017_15_1_H4_JHU_2	7/12/18	50	32	1	H4	SRR7502154	SRS3529549	E01JH0017_15_1_H4	E01JH0017	PCR replicate 2	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634692	SRX4371429	E01JH0038_15_1_H5_JHU_2	7/12/18	48	30	1	H5	SRR7502152	SRS3529551	E01JH0038_15_1_H5	E01JH0038	PCR replicate 2	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634750	SRX4371432	E01JH0016_4_2_E3_JHU_2	7/12/18	46	29	2	E3	SRR7502150	SRS3529625	E01JH0016_4_2_E3	E01JH0016	PCR replicate 3	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634749	SRX4371433	E01JH0011_4_2_E2_JHU_2	7/12/18	32	20	2	E2	SRR7502149	SRS3529518	E01JH0011_4_2_E2	E01JH0011	PCR replicate 3	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634752	SRX4371434	E01JH0038_4_2_E5_JHU_2	7/12/18	45	28	2	E5	SRR7502147	SRS3529627	E01JH0038_4_2_E5	E01JH0038	PCR replicate 4	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634751	SRX4371435	E01JH0017_4_2_E4_JHU_2	7/12/18	65	40	2	E4	SRR7502146	SRS3529626	E01JH0017_4_2_E4	E01JH0017	PCR replicate 4	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634754	SRX4371436	E01JH0004_4_2_E7_JHU_2	7/12/18	67	41	2	E7	SRR7502148	SRS3529628	E01JH0004_4_2_E7	E01JH0004	PCR replicate 4	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634753	SRX4371437	E01JH0017_0_2_E6_JHU_2	7/12/18	53	33	2	E6	SRR7502145	SRS3529629	E01JH0017_0_2_E6	E01JH0017	PCR replicate 4	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634756	SRX4371438	E01JH0016_4_2_E9_JHU_2	7/12/18	54	35	2	E9	SRR7502144	SRS3529621	E01JH0016_4_2_E9	E01JH0016	PCR replicate 4	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634755	SRX4371439	E01JH0011_4_2_E8_JHU_2	7/12/18	64	40	2	E8	SRR7502142	SRS3529618	E01JH0011_4_2_E8	E01JH0011	PCR replicate 4	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634758	SRX4371440	E01JH0017_5_2_F10_JHU_2	7/12/18	69	43	2	F10	SRR7502141	SRS3529620	E01JH0017_5_2_F10	E01JH0017	PCR replicate 3	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634757	SRX4371441	E01JH0004_5_2_F1_JHU_2	7/12/18	63	39	2	F1	SRR7502143	SRS3529619	E01JH0004_5_2_F1	E01JH0004	PCR replicate 3	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634607	SRX4371448	E01JH0017_20_1_A4_JHU_2	7/12/18	32	20	1	A4	SRR7502134	SRS3529595	E01JH0017_20_1_A4	E01JH0017	PCR replicate 2	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634608	SRX4371449	E01JH0038_20_1_A5_JHU_2	7/12/18	34	21	1	A5	SRR7502132	SRS3529591	E01JH0038_20_1_A5	E01JH0038	PCR replicate 2	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634601	SRX4371452	E01JH0004_20_1_A1_JHU_2	7/12/18	58	36	1	A1	SRR7502130	SRS3529631	E01JH0004_20_1_A1	E01JH0004	PCR replicate 1	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634602	SRX4371453	E01JH0017_20_1_A10_JHU_2	7/12/18	45	29	1	A10	SRR7502129	SRS3529528	E01JH0017_20_1_A10	E01JH0017	PCR replicate 1	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634603	SRX4371454	E01JH0038_20_1_A11_JHU_2	7/12/18	34	21	1	A11	SRR7502127	SRS3529529	E01JH0038_20_1_A11	E01JH0038	PCR replicate 1	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634604	SRX4371455	NTC_NA_1_A12_JHU_2	7/12/18	0	0	1	A12	SRR7502126	SRS3529530	NTC_NA_1_A12	NTC	PCR replicate 1	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634605	SRX4371456	E01JH0011_20_1_A2_JHU_2	7/12/18	36	23	1	A2	SRR7502128	SRS3529622	E01JH0011_20_1_A2	E01JH0011	PCR replicate 1	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634606	SRX4371457	E01JH0016_20_1_A3_JHU_2	7/12/18	45	28	1	A3	SRR7502125	SRS3529633	E01JH0016_20_1_A3	E01JH0016	PCR replicate 1	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634697	SRX4371474	E01JH0004_20_2_A1_JHU_2	7/12/18	60	38	2	A1	SRR7502107	SRS3529541	E01JH0004_20_2_A1	E01JH0004	PCR replicate 3	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634698	SRX4371475	E01JH0017_20_2_A10_JHU_2	7/12/18	59	37	2	A10	SRR7502106	SRS3529546	E01JH0017_20_2_A10	E01JH0017	PCR replicate 3	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634649	SRX4371493	E01JH0004_4_1_E1_JHU_2	7/12/18	60	38	1	E1	SRR7502089	SRS3529600	E01JH0004_4_1_E1	E01JH0004	PCR replicate 1	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634650	SRX4371494	E01JH0017_4_1_E10_JHU_2	7/12/18	50	32	1	E10	SRR7502087	SRS3529569	E01JH0017_4_1_E10	E01JH0017	PCR replicate 1	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634651	SRX4371495	E01JH0038_4_1_E11_JHU_2	7/12/18	48	30	1	E11	SRR7502086	SRS3529634	E01JH0038_4_1_E11	E01JH0038	PCR replicate 1	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634652	SRX4371496	E01JH0017_0_1_E12_JHU_2	7/12/18	59	37	1	E12	SRR7502088	SRS3529637	E01JH0017_0_1_E12	E01JH0017	PCR replicate 1	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634653	SRX4371497	E01JH0011_4_1_E2_JHU_2	7/12/18	41	26	1	E2	SRR7502085	SRS3529636	E01JH0011_4_1_E2	E01JH0011	PCR replicate 1	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634654	SRX4371498	E01JH0016_4_1_E3_JHU_2	7/12/18	42	27	1	E3	SRR7502084	SRS3529639	E01JH0016_4_1_E3	E01JH0016	PCR replicate 1	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634655	SRX4371499	E01JH0017_4_1_E4_JHU_2	7/12/18	29	21	1	E4	SRR7502082	SRS3529635	E01JH0017_4_1_E4	E01JH0017	PCR replicate 2	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634656	SRX4371500	E01JH0038_4_1_E5_JHU_2	7/12/18	52	32	1	E5	SRR7502081	SRS3529638	E01JH0038_4_1_E5	E01JH0038	PCR replicate 2	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634657	SRX4371501	E01JH0017_0_1_E6_JHU_2	7/12/18	42	26	1	E6	SRR7502083	SRS3529616	E01JH0017_0_1_E6	E01JH0017	PCR replicate 2	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634658	SRX4371502	E01JH0004_4_1_E7_JHU_2	7/12/18	38	24	1	E7	SRR7502080	SRS3529614	E01JH0004_4_1_E7	E01JH0004	PCR replicate 2	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634790	SRX4371524	E01JH0004_15_2_H7_JHU_2	7/12/18	61	38	2	H7	SRR7502057	SRS3529640	E01JH0004_15_2_H7	E01JH0004	PCR replicate 4	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634789	SRX4371525	NTC_NA_2_H6_JHU_2	7/12/18	2	0	2	H6	SRR7502056	SRS3529641	NTC_NA_2_H6	NTC	PCR replicate 12	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
